sample_ID	Actinomyces	Actinotignum	Aerococcus	Agrobacterium	Agrococcus	Alkanindiges	Anaerococcus	Arcanobacterium	Arenibacter	Asinibacterium	Aspergillus	Atopobium	Aureimonas	Auricoccucs	Bacteroides	Bifidobacterium	Blastomonas	Bordetella	Brachybacterium	Buchnera	Campylobacter	Capnocytophaga	Chlamydia	Cloacibacterium	Clostridioides	Clostridium	Cutibacterium	Dermabacter	Desulfitobacterium	Dialister	Endocarpon	Ensifer	Enterococcus	Erwinia	Eutypa	Exiguobacterium	Ezakiella	Faecalibacterium	Finegoldia	Friedmanniella	Frigoribacterium	Fusobacterium	Gardnerella	Gemella	Gordonia	Haemophilus	Hafnia	Hammondia	Homo	Hymenobacter	Hyphomicrobium	Jonquetella	Klebsiella	Lactobacillus	Lactococcus	Lawsonella	Leptotrichia	Lysinibacillus	Malassezia	Marmoricola	Microcystis	Mobiluncus	Moraxella	Mycobacterium	Mycoplasma	Nakamurella	Neisseria	Nevskia	Nocardioides	Nostoc	Oscillatoria	Pantoea	Parvimonas	Penicillium	Peptoniphilus	Peptostreptococcus	Phaeodactylum	Planococcus	Plantibacter	Porphyromonas	Prevotella	Propionimicrobium	Providencia	Rathayibacter	Rhodoluna	Rothia	Rudaea	Sanguibacter	Sediminibacterium	Shewanella	Solimonas	Sphingobacterium	Spirosoma	Staphylococcus	Synechocystis	Tessaracoccus	Thalassiosira	Treponema	Truepera	Varibaculum	Veillonella	Yersinia
P100_3	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	624	0	0	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0
P104_1	0	0	0	126	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0
P104_4	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0
P109_5	289	0	0	317	0	0	0	0	0	355	0	116	0	0	0	0	0	0	0	0	0	0	106	0	0	0	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	804	0	0	279	222	0	0	0	0	0	1301	0	0	297	0	0	4224	0	0	0	0	455	0	0	123	173	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	466	0	0	0	0	0	0	0	1568	0	0	0	0	0	0	103	0
P110_1	155	0	0	648	0	0	288	350	0	0	0	0	0	0	0	0	0	141	0	0	602	118	0	0	263	0	512	198	0	0	0	0	0	0	0	0	0	0	109	0	0	119	0	120	0	202	181	0	0	0	0	0	0	113	193	159	0	157	528	0	0	0	107	456	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	16147	0	193	126	0	0	350	0	0	0	0	0	0	0	1398	0	0	0	0	0	0	682	0
P112_4	487	0	0	178	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	123	177	0	0	0	0	0	0	0	0	678	0	225	0	0	192	0	0	0	0	131	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	185	0	0	449	0	0	0	0	0	0	136	0
P113_1	0	0	0	159	0	0	0	0	0	2180	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	185	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	157	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	1180	0	0	0	0	0	0	0	0
P114_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0
P115_1	590	0	0	978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	139	0	559	0	0	0	0	0	0	0	795	0	0	0	0	0	0	0	0	274	0	0	137	161	0	364	0	0	0	108	132	777	0	106	3454	0	0	0	244	560	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	0	152	0	0	0	0	0	0	294	929	0	0	0	0	0	0	0	0
P117_7	368	0	0	144	0	0	0	0	0	0	0	0	0	580	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	0	0	419	0	0	261	0	285	0	0	0	148	0	0	1479	0	0	0	0	0	0	0	0	1295	0	194	0	0	1595	0	0	0	123	148	0	0	0	0	130	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	195	0	0	0	0	0	0	0	0
